Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas938           Pavarde938          3         7         8         6         10        4         8         6         8         9         5         9         7         3         10        9         
Vardas939           Pavarde939          6         6         7         4         7         9         3         5         7         6         1         2         3         6         7         4         
Vardas940           Pavarde940          3         6         9         1         10        6         3         8         3         6         1         5         4         9         7         1         
Vardas941           Pavarde941          6         2         10        10        7         4         1         6         4         4         9         4         2         1         3         6         
Vardas942           Pavarde942          6         8         6         2         1         7         5         4         4         1         8         9         5         9         5         1         
Vardas943           Pavarde943          9         1         3         6         6         8         7         9         6         2         6         8         9         4         3         9         
Vardas944           Pavarde944          2         9         9         9         8         3         6         9         6         9         5         6         9         1         6         7         
Vardas945           Pavarde945          2         2         9         1         7         8         5         1         5         6         6         1         7         5         5         7         
Vardas946           Pavarde946          9         10        7         6         7         9         5         3         8         10        1         8         8         4         1         6         
Vardas947           Pavarde947          7         8         6         2         6         6         1         8         4         5         4         10        8         7         5         1         
Vardas948           Pavarde948          4         1         6         2         6         1         9         6         10        5         9         2         2         4         4         1         
Vardas949           Pavarde949          8         8         9         9         5         10        8         8         10        10        2         5         8         4         5         7         
Vardas950           Pavarde950          1         4         5         4         9         8         6         9         1         6         3         2         5         6         8         8         
Vardas951           Pavarde951          5         1         5         6         1         8         4         4         9         5         8         10        4         7         1         2         
Vardas952           Pavarde952          7         5         6         3         4         8         10        1         3         2         1         3         5         7         1         8         
Vardas953           Pavarde953          10        8         3         4         5         4         8         10        8         7         2         10        5         8         6         7         
Vardas954           Pavarde954          10        3         3         7         4         5         10        5         10        9         9         6         5         6         10        1         
Vardas955           Pavarde955          4         3         10        10        1         9         1         2         7         10        10        10        1         7         10        5         
Vardas956           Pavarde956          9         5         8         7         3         3         7         5         2         7         3         6         2         10        6         2         
Vardas957           Pavarde957          6         2         1         6         7         6         5         4         3         8         4         8         9         10        10        4         
Vardas958           Pavarde958          5         9         3         2         9         5         7         6         9         5         8         4         3         10        2         10        
Vardas959           Pavarde959          3         2         4         1         6         8         5         4         10        2         7         10        3         10        8         8         
Vardas960           Pavarde960          1         6         8         2         6         8         7         9         1         5         7         7         1         8         10        2         
Vardas961           Pavarde961          3         4         10        6         9         7         8         10        2         7         10        3         1         5         4         5         
Vardas962           Pavarde962          8         4         7         3         1         7         5         4         9         6         4         10        10        8         10        9         
Vardas963           Pavarde963          8         4         5         9         4         4         5         3         4         5         2         7         9         10        5         5         
Vardas964           Pavarde964          2         7         5         7         9         8         5         6         5         7         9         7         5         8         3         6         
Vardas965           Pavarde965          6         10        6         4         8         4         3         7         8         4         2         6         7         9         9         5         
Vardas966           Pavarde966          7         6         2         2         7         5         8         8         2         10        10        4         8         1         4         9         
Vardas967           Pavarde967          2         3         1         10        1         6         5         5         5         9         3         10        8         8         1         7         
Vardas968           Pavarde968          1         8         1         8         3         2         10        9         2         8         5         8         1         1         7         8         
Vardas969           Pavarde969          2         3         10        2         1         5         9         2         5         10        9         7         7         10        7         1         
Vardas970           Pavarde970          4         7         5         6         3         5         5         5         10        6         7         6         1         4         2         3         
Vardas971           Pavarde971          6         2         10        6         6         4         3         8         1         2         2         4         7         4         9         5         
Vardas972           Pavarde972          3         7         10        8         9         5         3         6         5         9         3         1         3         7         6         5         
Vardas973           Pavarde973          10        1         6         3         3         10        2         10        9         4         1         3         5         9         3         10        
Vardas974           Pavarde974          9         1         6         8         7         1         8         6         5         10        7         4         1         2         5         2         
Vardas975           Pavarde975          9         7         10        1         5         10        7         5         1         5         2         9         4         5         4         10        
Vardas976           Pavarde976          5         9         10        1         6         9         4         4         8         1         9         6         7         2         8         7         
Vardas977           Pavarde977          3         7         3         7         10        3         9         5         5         5         8         3         10        10        2         3         
Vardas978           Pavarde978          4         8         3         4         8         7         6         3         6         9         8         9         4         5         7         9         
Vardas979           Pavarde979          4         4         6         10        6         10        4         9         6         10        4         9         6         4         4         4         
Vardas980           Pavarde980          2         3         1         7         9         3         1         8         8         2         7         8         5         5         9         3         
Vardas981           Pavarde981          10        5         4         9         4         6         2         9         10        8         3         10        2         2         10        10        
Vardas982           Pavarde982          7         9         10        8         3         7         3         3         4         7         5         8         6         5         3         8         
Vardas983           Pavarde983          1         9         6         2         2         2         7         7         5         8         6         5         9         3         4         1         
Vardas984           Pavarde984          6         10        4         9         10        1         10        8         4         1         4         7         7         8         3         10        
Vardas985           Pavarde985          8         8         4         6         1         3         8         9         2         3         10        7         4         9         1         10        
Vardas986           Pavarde986          3         9         1         6         9         6         8         5         4         7         2         3         1         1         7         7         
Vardas987           Pavarde987          7         6         5         3         5         2         7         8         7         9         7         5         1         6         4         7         
Vardas988           Pavarde988          1         7         4         3         2         8         2         9         10        8         5         2         10        3         9         2         
Vardas989           Pavarde989          8         8         1         8         10        1         10        6         3         7         1         5         1         6         9         2         
Vardas990           Pavarde990          9         6         1         4         10        3         4         1         4         6         5         1         1         10        2         1         
Vardas991           Pavarde991          5         6         2         3         3         1         10        9         4         10        7         7         4         1         5         10        
Vardas992           Pavarde992          7         4         6         3         1         3         2         7         1         2         6         7         6         5         5         3         
Vardas993           Pavarde993          1         8         8         2         3         4         1         8         8         9         4         4         6         6         5         7         
Vardas994           Pavarde994          2         8         6         10        4         3         8         1         4         9         7         6         3         5         5         7         
Vardas995           Pavarde995          6         9         7         3         5         1         9         8         5         3         5         5         1         10        8         5         
Vardas996           Pavarde996          7         2         6         3         6         5         3         2         5         2         8         6         8         1         9         2         
Vardas997           Pavarde997          2         3         4         5         10        4         2         8         7         1         6         7         7         7         8         2         
Vardas998           Pavarde998          1         9         10        7         10        9         3         10        9         8         7         1         9         5         8         10        
Vardas999           Pavarde999          2         2         2         3         6         5         5         7         10        1         7         4         4         4         1         9         
Vardas1000          Pavarde1000         2         4         5         5         4         2         5         5         8         4         5         3         10        5         10        8         
Vardas1001          Pavarde1001         9         3         3         9         8         2         4         10        10        8         9         2         7         7         4         3         
Vardas1002          Pavarde1002         7         10        2         10        1         4         10        5         7         4         2         1         4         9         4         1         
Vardas1003          Pavarde1003         3         9         2         1         4         2         7         8         10        10        5         3         4         3         1         8         
Vardas1004          Pavarde1004         3         10        1         3         2         10        5         8         4         9         5         2         5         10        9         3         
Vardas1005          Pavarde1005         6         3         8         3         9         2         2         9         5         8         2         2         9         7         6         5         
Vardas1006          Pavarde1006         7         1         7         1         3         5         4         8         3         8         3         9         7         6         3         6         
Vardas1007          Pavarde1007         4         10        5         1         10        9         2         2         6         4         2         7         6         10        3         5         
Vardas1008          Pavarde1008         6         8         7         8         6         6         3         3         9         8         3         5         10        1         2         9         
Vardas1009          Pavarde1009         1         8         8         8         6         3         9         9         5         3         7         1         8         1         7         4         
Vardas1010          Pavarde1010         2         1         8         6         1         3         2         5         8         2         5         5         2         5         1         5         
Vardas1011          Pavarde1011         8         9         1         9         2         10        2         1         9         5         1         2         6         6         1         4         
Vardas1012          Pavarde1012         2         10        9         7         9         5         2         5         3         4         2         3         3         9         4         10        
Vardas1013          Pavarde1013         9         5         2         4         1         8         7         6         8         6         9         3         5         2         6         7         
Vardas1014          Pavarde1014         1         6         1         9         5         5         4         10        2         10        2         6         6         1         9         5         
Vardas1015          Pavarde1015         4         4         8         9         8         10        7         8         8         1         7         8         5         8         6         2         
Vardas1016          Pavarde1016         3         5         9         7         4         6         4         1         3         4         2         9         10        9         9         10        
Vardas1017          Pavarde1017         3         9         9         6         3         5         10        1         10        10        5         7         10        5         8         2         
Vardas1018          Pavarde1018         4         6         3         9         4         8         7         4         3         9         8         6         7         6         2         2         
Vardas1019          Pavarde1019         8         8         1         1         5         8         5         4         9         10        6         10        8         9         8         3         
Vardas1020          Pavarde1020         5         1         3         5         4         7         5         4         5         2         6         8         7         7         4         8         
Vardas1021          Pavarde1021         4         4         7         8         1         10        3         8         1         1         3         4         4         8         10        2         
Vardas1022          Pavarde1022         2         3         7         5         10        1         8         7         5         5         4         5         8         4         6         1         
Vardas1023          Pavarde1023         7         10        1         9         6         9         2         7         9         2         6         7         2         9         6         1         
Vardas1024          Pavarde1024         2         3         5         4         4         8         7         10        7         8         5         9         7         9         8         10        
Vardas1025          Pavarde1025         8         2         5         7         4         9         2         8         2         9         3         1         6         7         4         4         
Vardas1026          Pavarde1026         10        6         6         1         9         9         1         4         7         6         7         9         6         8         5         4         
Vardas1027          Pavarde1027         1         3         1         10        3         10        5         2         2         10        9         1         1         7         1         4         
Vardas1028          Pavarde1028         2         4         4         8         2         3         10        9         10        1         7         5         8         6         10        6         
Vardas1029          Pavarde1029         4         2         3         1         2         9         10        2         8         10        10        5         5         3         5         4         
Vardas1030          Pavarde1030         8         5         1         6         1         10        1         2         8         7         10        4         3         7         3         2         
Vardas1031          Pavarde1031         7         6         10        4         5         8         8         2         9         8         6         9         9         8         6         4         
Vardas1032          Pavarde1032         10        7         6         6         4         3         1         1         6         6         2         5         9         10        9         7         
Vardas1033          Pavarde1033         2         1         5         4         9         3         1         6         9         9         10        2         1         5         4         10        
Vardas1034          Pavarde1034         5         4         3         10        3         9         5         1         8         10        8         3         1         10        5         6         
Vardas1035          Pavarde1035         10        3         7         5         5         7         7         9         4         2         2         3         8         4         6         6         
Vardas1036          Pavarde1036         4         7         2         10        3         7         9         1         4         3         9         10        8         1         6         6         
Vardas1037          Pavarde1037         1         10        5         10        5         1         4         1         8         7         6         9         8         10        4         2         
Vardas1038          Pavarde1038         4         2         10        9         9         1         10        6         7         10        1         5         8         7         6         1         
Vardas1039          Pavarde1039         5         3         4         2         9         7         10        2         9         5         9         9         2         8         8         1         
Vardas1040          Pavarde1040         10        1         10        5         1         8         1         5         10        4         4         9         4         6         10        10        
Vardas1041          Pavarde1041         6         10        4         7         5         10        6         6         1         2         2         4         10        6         10        4         
Vardas1042          Pavarde1042         7         10        3         10        2         3         6         2         10        3         5         9         2         1         4         5         
Vardas1043          Pavarde1043         3         10        5         9         9         4         2         3         2         4         9         9         8         9         5         5         
Vardas1044          Pavarde1044         9         9         1         9         6         8         5         5         4         5         7         2         4         3         8         6         
Vardas1045          Pavarde1045         6         8         2         8         2         10        6         4         8         3         4         7         9         9         2         1         
Vardas1046          Pavarde1046         5         9         8         10        2         9         7         10        1         8         1         6         2         6         10        9         
Vardas1047          Pavarde1047         5         9         8         10        1         7         2         5         1         9         6         3         7         1         10        4         
Vardas1048          Pavarde1048         8         6         7         9         1         4         2         7         8         1         2         8         3         8         8         10        
Vardas1049          Pavarde1049         9         8         1         8         8         8         4         7         10        9         9         1         6         8         9         2         
Vardas1050          Pavarde1050         4         10        5         7         6         2         4         9         8         6         7         6         4         4         6         3         
Vardas1051          Pavarde1051         10        1         4         8         2         4         9         2         1         4         3         10        9         1         8         7         
Vardas1052          Pavarde1052         9         8         2         8         2         7         9         3         8         4         4         8         4         5         2         1         
Vardas1053          Pavarde1053         9         4         1         9         7         8         7         7         2         8         3         8         9         7         8         10        
Vardas1054          Pavarde1054         6         4         8         7         2         2         8         5         4         10        2         2         1         7         6         6         
Vardas1055          Pavarde1055         3         6         1         5         4         8         4         3         1         9         4         7         9         4         6         3         
Vardas1056          Pavarde1056         2         7         7         8         9         2         4         4         1         8         1         7         5         6         5         1         
Vardas1057          Pavarde1057         2         2         2         8         10        1         10        9         3         9         8         1         6         7         5         9         
Vardas1058          Pavarde1058         3         7         8         5         4         2         6         8         9         2         1         8         3         1         1         5         
Vardas1059          Pavarde1059         1         8         3         4         1         6         8         3         1         9         2         8         4         4         7         3         
Vardas1060          Pavarde1060         4         1         1         1         5         7         9         8         3         7         10        1         2         3         2         6         
Vardas1061          Pavarde1061         5         6         4         8         9         5         1         4         7         7         7         2         3         4         2         6         
Vardas1062          Pavarde1062         2         6         2         8         5         2         7         10        7         5         8         2         4         10        7         8         
Vardas1063          Pavarde1063         2         1         8         4         3         9         5         5         4         6         9         5         5         9         10        3         
Vardas1064          Pavarde1064         9         10        8         4         5         10        3         9         4         7         8         5         8         1         4         3         
Vardas1065          Pavarde1065         5         1         2         10        8         9         6         3         4         5         7         4         5         7         10        10        
Vardas1066          Pavarde1066         4         9         2         6         4         10        7         8         5         7         9         9         4         10        3         6         
Vardas1067          Pavarde1067         4         2         3         2         4         1         10        8         7         10        8         3         4         10        7         3         
Vardas1068          Pavarde1068         5         7         10        10        7         3         9         5         7         3         8         7         8         3         8         3         
Vardas1069          Pavarde1069         8         1         5         4         4         4         2         8         6         5         10        4         3         5         5         1         
Vardas1070          Pavarde1070         8         7         1         4         9         1         6         3         10        1         7         2         8         9         7         1         
Vardas1071          Pavarde1071         3         3         3         5         5         4         7         10        2         10        9         4         10        9         6         10        
Vardas1072          Pavarde1072         2         8         2         10        4         2         10        5         1         10        4         2         9         6         1         3         
Vardas1073          Pavarde1073         10        9         1         2         6         5         8         5         7         6         2         7         2         7         9         8         
Vardas1074          Pavarde1074         4         9         8         6         1         1         4         2         5         4         10        7         10        10        3         6         
Vardas1075          Pavarde1075         9         1         1         10        5         9         8         3         7         8         9         2         9         6         1         5         
Vardas1076          Pavarde1076         5         7         3         3         10        6         3         9         1         1         5         10        10        5         8         10        
Vardas1077          Pavarde1077         9         4         5         6         8         2         10        7         3         8         2         1         2         4         8         2         
Vardas1078          Pavarde1078         2         4         10        4         9         10        5         6         2         5         9         7         2         3         7         6         
Vardas1079          Pavarde1079         2         9         2         8         1         1         6         4         9         8         5         10        4         10        4         6         
Vardas1080          Pavarde1080         10        6         4         9         8         8         1         1         6         10        4         1         7         2         3         7         
Vardas1081          Pavarde1081         2         1         6         7         9         7         10        6         7         3         5         3         7         8         2         10        
Vardas1082          Pavarde1082         8         3         6         5         3         10        6         9         9         9         3         1         8         6         3         1         
Vardas1083          Pavarde1083         8         7         5         1         2         1         9         10        4         6         1         2         9         4         8         6         
Vardas1084          Pavarde1084         2         3         4         5         5         9         9         8         1         10        4         6         8         9         4         9         
Vardas1085          Pavarde1085         8         3         3         8         3         10        5         1         8         6         1         10        2         6         8         2         
Vardas1086          Pavarde1086         5         7         9         2         5         10        4         3         9         8         8         7         7         9         2         1         
Vardas1087          Pavarde1087         6         9         3         4         8         8         10        10        8         7         10        4         7         2         6         10        
Vardas1088          Pavarde1088         10        4         5         5         8         6         10        7         2         10        9         4         5         10        5         7         
Vardas1089          Pavarde1089         7         5         10        1         4         1         7         3         2         3         4         9         9         8         10        4         
Vardas1090          Pavarde1090         1         6         5         9         7         4         2         9         9         9         2         10        5         5         4         2         
Vardas1091          Pavarde1091         3         5         10        8         7         10        7         6         3         8         4         5         8         10        5         7         
Vardas1092          Pavarde1092         3         3         1         4         9         6         8         8         3         6         3         7         9         9         3         4         
Vardas1093          Pavarde1093         1         1         7         1         10        8         4         4         9         2         5         8         3         4         6         7         
Vardas1094          Pavarde1094         3         3         7         10        5         5         10        3         2         9         2         8         2         6         8         7         
Vardas1095          Pavarde1095         9         1         6         3         1         7         8         10        1         8         2         10        10        3         8         10        
Vardas1096          Pavarde1096         9         5         5         1         5         10        6         7         4         9         7         2         2         2         6         4         
Vardas1097          Pavarde1097         2         5         2         9         7         3         3         5         7         4         3         6         10        10        9         8         
Vardas1098          Pavarde1098         3         4         5         4         10        9         5         8         9         5         9         7         7         6         8         4         
Vardas1099          Pavarde1099         7         1         7         8         6         6         6         10        9         7         10        5         9         4         10        4         
Vardas1100          Pavarde1100         7         2         8         5         10        2         5         6         5         4         9         6         6         10        5         6         
Vardas1101          Pavarde1101         2         1         5         8         2         9         5         9         6         2         5         10        1         9         1         6         
Vardas1102          Pavarde1102         1         6         9         5         4         7         2         10        7         5         7         8         7         5         10        2         
Vardas1103          Pavarde1103         2         7         9         7         9         4         4         8         4         9         7         2         3         3         7         4         
Vardas1104          Pavarde1104         3         3         10        5         1         9         7         3         9         7         5         8         6         4         7         8         
Vardas1105          Pavarde1105         9         4         6         7         7         7         8         2         7         1         10        4         3         7         5         7         
Vardas1106          Pavarde1106         3         1         8         5         6         2         3         3         9         9         9         1         6         3         8         8         
Vardas1107          Pavarde1107         8         9         4         8         5         6         2         3         4         5         2         9         6         4         2         4         
Vardas1108          Pavarde1108         4         9         7         6         2         8         6         8         4         5         3         1         2         7         3         9         
Vardas1109          Pavarde1109         3         9         7         9         10        7         6         4         7         1         8         9         7         9         8         1         
Vardas1110          Pavarde1110         5         7         8         1         3         9         7         7         10        9         2         8         4         3         10        5         
Vardas1111          Pavarde1111         10        8         5         9         8         5         5         10        1         1         4         4         6         2         7         7         
Vardas1112          Pavarde1112         1         7         3         8         5         3         8         3         6         1         2         7         5         6         3         6         
Vardas1113          Pavarde1113         7         6         8         4         8         8         9         1         3         4         10        8         10        3         8         2         
Vardas1114          Pavarde1114         7         8         2         9         1         9         10        1         2         4         5         8         7         9         3         3         
Vardas1115          Pavarde1115         3         4         4         5         9         10        6         10        9         7         6         8         10        6         3         1         
Vardas1116          Pavarde1116         2         4         8         1         10        2         5         6         9         3         2         10        8         3         1         6         
Vardas1117          Pavarde1117         6         3         3         9         4         5         10        8         8         2         1         9         9         5         9         1         
Vardas1118          Pavarde1118         7         9         7         2         9         7         9         5         7         1         10        1         5         8         8         9         
Vardas1119          Pavarde1119         9         9         9         7         10        1         5         2         3         6         9         3         3         7         9         9         
Vardas1120          Pavarde1120         2         4         5         1         3         2         9         8         2         10        3         10        7         9         3         4         
Vardas1121          Pavarde1121         3         4         2         9         6         1         1         3         10        3         4         9         10        3         1         6         
Vardas1122          Pavarde1122         5         5         10        3         2         8         1         7         6         9         1         8         5         2         6         3         
Vardas1123          Pavarde1123         3         8         9         2         7         2         10        6         3         5         10        6         2         10        3         3         
Vardas1124          Pavarde1124         7         9         5         5         7         1         5         3         8         6         5         4         10        5         9         7         
Vardas1125          Pavarde1125         3         7         4         6         7         3         9         5         9         6         3         4         9         9         1         7         
Vardas1126          Pavarde1126         9         4         6         2         6         10        8         10        4         7         8         3         5         8         8         7         
Vardas1127          Pavarde1127         10        3         6         6         3         5         2         6         5         7         4         8         4         4         4         7         
Vardas1128          Pavarde1128         10        8         2         7         10        9         2         9         7         7         1         1         8         8         3         1         
Vardas1129          Pavarde1129         4         2         3         6         2         6         6         3         8         6         8         2         4         7         2         5         
Vardas1130          Pavarde1130         9         8         7         8         2         7         10        2         5         1         10        7         8         9         8         9         
Vardas1131          Pavarde1131         7         10        3         7         5         2         5         6         4         1         5         7         3         5         1         4         
Vardas1132          Pavarde1132         5         2         4         6         9         8         7         10        4         10        2         9         7         8         4         9         
Vardas1133          Pavarde1133         4         5         9         2         10        9         8         5         4         8         8         9         3         6         6         10        
Vardas1134          Pavarde1134         4         4         2         3         6         10        5         5         6         9         5         6         8         2         7         4         
Vardas1135          Pavarde1135         2         10        6         1         10        8         10        3         7         1         5         4         7         4         4         1         
Vardas1136          Pavarde1136         10        4         1         2         10        1         1         10        9         8         5         5         1         5         6         3         
Vardas1137          Pavarde1137         2         9         4         7         10        10        6         7         6         6         9         10        8         10        6         7         
Vardas1138          Pavarde1138         1         6         6         8         6         9         4         3         7         9         3         2         8         4         3         4         
Vardas1139          Pavarde1139         7         2         8         4         1         1         6         3         6         6         7         10        3         6         6         8         
Vardas1140          Pavarde1140         2         6         5         8         4         1         1         3         1         8         2         3         4         10        4         9         
Vardas1141          Pavarde1141         3         3         4         5         2         2         10        1         6         6         1         7         10        9         2         4         
Vardas1142          Pavarde1142         3         9         6         2         5         9         2         9         10        10        10        4         6         10        6         8         
Vardas1143          Pavarde1143         5         10        10        10        7         10        9         6         2         4         1         2         7         3         8         7         
Vardas1144          Pavarde1144         1         10        1         3         9         4         1         5         10        7         4         7         2         5         7         10        
Vardas1145          Pavarde1145         1         10        7         5         4         4         7         1         1         7         9         4         9         2         3         5         
Vardas1146          Pavarde1146         8         9         8         1         10        1         4         9         10        7         10        1         6         8         8         8         
Vardas1147          Pavarde1147         3         6         9         7         1         7         9         2         7         9         9         6         5         6         9         5         
Vardas1148          Pavarde1148         6         8         7         3         9         2         9         3         4         1         2         10        10        6         3         7         
Vardas1149          Pavarde1149         1         4         1         1         10        3         2         6         1         3         7         2         10        10        6         9         
Vardas1150          Pavarde1150         10        6         3         8         10        1         3         2         1         3         1         1         6         9         7         10        
Vardas1151          Pavarde1151         4         2         10        1         4         10        10        5         8         2         3         8         4         3         6         10        
Vardas1152          Pavarde1152         8         10        5         4         9         9         7         8         8         10        6         1         1         2         1         3         
Vardas1153          Pavarde1153         7         5         5         5         5         6         1         9         2         9         10        10        1         4         9         5         
Vardas1154          Pavarde1154         5         9         5         10        2         9         1         6         9         9         7         10        8         1         7         4         
Vardas1155          Pavarde1155         5         7         10        9         4         6         4         3         7         8         10        4         5         7         8         7         
Vardas1156          Pavarde1156         8         4         3         4         3         5         3         4         10        8         7         1         4         6         9         6         
Vardas1157          Pavarde1157         1         9         1         8         8         6         9         1         1         5         2         8         2         4         5         7         
Vardas1158          Pavarde1158         6         2         1         1         2         9         3         7         2         6         1         2         2         8         8         5         
Vardas1159          Pavarde1159         9         6         6         1         10        8         10        6         5         9         7         6         9         9         10        1         
Vardas1160          Pavarde1160         8         7         7         6         3         2         8         1         8         9         10        4         6         8         8         10        
